,val_error,train_error
0,0.66328125,0.8502199054
1,0.344921875,0.6784076691
2,0.452734375,0.0582954884
3,0.417578125,0.1105489731
4,0.54765625,0.7767332196
5,0.257421875,0.2835232019
6,0.46015625,0.5819681883
7,0.420703125,0.3705583513
8,0.454296875,0.4767186642
9,0.44375,0.1025122032
10,0.469140625,0.6066657305
11,0.5515625,0.5169858932
12,0.414453125,0.2711873055
13,0.386328125,0.0582651123
14,0.346484375,0.3866634369
15,0.67109375,0.8832315207
16,0.44609375,0.4442565441
17,0.719921875,0.9001488686
18,0.425390625,0.5806446671
19,0.396875,0.0819187239
20,0.519921875,0.108956039
21,0.661328125,0.8364659548
22,0.390234375,0.3838778436
23,0.463671875,0.395262897
24,0.405859375,0.6246616244
25,0.723046875,0.9000573754
26,0.665234375,0.8853453994
27,0.40078125,0.0226240885
28,0.38671875,0.813103199
29,0.451953125,0.5719696879
30,0.566796875,0.8111940026
31,0.44609375,0.5915418267
32,0.4828125,0.3622186482
33,0.583203125,0.6535477638
34,0.4265625,0.269467026
35,0.721484375,0.8991948366
36,0.45390625,0.587915957
37,0.449609375,0.4611625671
38,0.4375,0.6910998225
39,0.53046875,0.0628726408
40,0.42734375,0.2988584936
41,0.5125,0.5827450156
42,0.5140625,0.3661439717
43,0.514453125,0.2982697487
44,0.47734375,0.4490754604
45,0.561328125,0.320884496
46,0.456640625,0.627671957
47,0.4203125,0.4225506186
48,0.401171875,0.0002885298
49,0.384375,0.3362957537
50,0.450390625,0.5993216634
51,0.625,0.8192767501
52,0.540234375,0.7133461833
53,0.33125,0.6349961758
54,0.401171875,0.6699370742
55,0.425390625,0.3521839678
56,0.523046875,0.6687327623
57,0.4484375,0.0073129274
58,0.41015625,0.5874946713
59,0.48828125,0.1100715995
60,0.541015625,0.6501464844
61,0.386328125,0.3095076382
62,0.546875,0.6660775542
63,0.3546875,0.0088221598
64,0.716796875,0.9005674124
65,0.417578125,0.6127291322
66,0.365625,0.6986732483
67,0.7296875,0.8995328546
68,0.36328125,0.4243012369
69,0.503515625,0.3555575311
70,0.453515625,0.8770555258
71,0.440234375,0.7247507572
72,0.340234375,0.1270726621
73,0.336328125,0.4924624264
74,0.43828125,0.3018707335
75,0.3640625,0.0613696314
76,0.551171875,0.5710231066
77,0.412890625,0.3131899834
78,0.481640625,0.7848533392
79,0.458203125,0.6942207217
80,0.3046875,0.4401423335
81,0.729296875,0.9007149935
82,0.435546875,0.8037483096
83,0.426953125,0.2198044509
84,0.59140625,0.777726531
85,0.483203125,0.7353106737
86,0.731640625,0.9000596404
87,0.374609375,0.3892489374
88,0.478515625,0.0491680503
89,0.439453125,0.3679670393
90,0.7125,0.8788607717
91,0.326953125,0.4352626503
92,0.3921875,0.5123974085
93,0.435546875,0.0106144715
94,0.50703125,0.4565686882
95,0.3578125,0.1969424486
96,0.72890625,0.8974131346
97,0.398046875,0
98,0.441796875,0.6233330965
99,0.31015625,0.1527206749
100,0.327734375,0.0005770597
101,0.3625,0.2251369804
102,0.447265625,0.0370533057
103,0.3984375,0.0188038908
104,0.40234375,0.2608309686
105,0.516015625,0.5702697039
106,0.591015625,0.7697610259
107,0.419140625,0.4245613515
108,0.429296875,0.0123760216
109,0.7046875,0.8480620384
110,0.409375,0.4052699506
111,0.476953125,0.7497749329
112,0.405859375,0.3420838416
113,0.44921875,0.611872077
114,0.446875,0.0107281702
115,0.400390625,0.2622837424
116,0.387109375,0.1941175014
117,0.719140625,0.8927802444
118,0.5046875,0.3745140731
119,0.5890625,0.6977103353
120,0.496875,0.4368267655
121,0.6,0.7816826701
122,0.450390625,0.7207922935
123,0.42265625,0.4680074453
124,0.368359375,0.1707446426
125,0.45390625,0.3357120454
126,0.719140625,0.9000935555
127,0.6390625,0.8828152418
128,0.385546875,0.0053294301
129,0.57421875,0.7411887646
130,0.331640625,0.0008655895
131,0.459765625,0.2844401896
132,0.690625,0.8983452916
133,0.421484375,0.3875816166
134,0.428125,0.5107160807
135,0.6703125,0.8521652222
